Nom_entreprise,Dirigeant_Gerant,Email_Pro,Ville,Province,Site_Web,Telephone,Taille_Estimee,Specialites,Annee_Creation,Note_Qualite,Source_URL
MENUISUD SRL,Jean-Yves Albert & Jean Harzé (adm.),menuisud@skynet.be,Habay-la-Neuve,Luxembourg,menuisud.com,+32 63 23 41 01,"5,1 ETP","Fabrication châssis alu (Reynaers) + pose PVC/bois, vérandas, pergolas",1995,chaud,https://wallux.com/menuiserie-menuisud-habay-la-neuve/contact
MENUISERIE J. HORMAN SA,Eddy Horman & Joseph Horman,courrier@horman.be,Vaux-sur-Sûre,Luxembourg,horman.be,+32 61 26 70 26,"9,3 ETP","Conception, fabrication en atelier et pose de châssis alu/PVC, bardage, protections solaires",1988,chaud,https://www.horman.be/
MENUISERIE CORNET SRL,Gaëtan Cornet; Paul & Yoan Cornet,info@cornet-menuiserie.be,Rulles (Habay),Luxembourg,cornet-menuiserie.be,+32 63 41 15 90,"8,4 ETP","Châssis bois & PVC (Bekaert), volets, portes de garage",1975,chaud,https://cornet-menuiserie.be/dop/
LEFEVRE Philippe (Menuiserie de la Sûre),Philippe Lefèvre,philippe@menuiseriedelasure.be,Hompré (Vaux-sur-Sûre),Luxembourg,menuiseriedelasure.be,+32 470 09 18 29,"Indépendant, 0 ETP salarié","Châssis PVC/bois/alu, vérandas, pergolas, extensions bois",2020,chaud,https://wallux.com/l-m-b-menuiserie-lefevre-vaux-sur-sure/contact
MENUISERIE BAILLEUX SPRL,David Bailleux,n.a.,Athus (Aubange),Luxembourg,n.a.,+32 63 37 10 69,"Micro, 1 ETP","Menuisier-charpentier: pose châssis, portes/fenêtres",2001,à vérifier,https://www.editus.lu/fr/menuiserie-bailleux-athus-aubange-788960
WEPKA SRL,Karim De Pauw (administrateur),k.depauw@wepka.be,Grez-Doiceau,Brabant wallon,wepka.be,+32 10 84 30 34,1-4 salariés (micro),"Châssis bois, alu et PVC, portes, portes sectionnelles; volets, screens, stores, pergolas bioclimatiques",2000 (site: depuis 1995),chaud,https://wepka.be/contact/
Menuiserie Deroux,n.a.,info@menuiseriederoux.be,Rebecq,Brabant wallon,menuiseriederoux.be,+32 67 67 04 68,"TPE artisanale, 1 employé","Châssis extérieurs bois et PVC, portes extérieures, vérandas et pergolas, escaliers",1991,chaud,https://www.menuiseriederoux.be/fr/contact
NaturElement Bois SRL (Natur'Elément Bois),Enzo Sereno et Eric Montoisy,info@naturelementbois.be,La Hulpe (siège BCE Ottignies-LLN),Brabant wallon,naturelementbois.be,+32 2 653 03 42,Micro-entreprise,"Menuiserie extérieure: châssis et portes extérieures, volets, bardages, terrasses, ossature bois",2009,tiède,https://naturelementbois.be/contact/
Menuiserie Decharneux,Alexandre Decharneux,menuiserie@decharneux.be,Genappe,Brabant wallon,decharneux.be,+32 476 22 31 05,TPE artisanale,"Bois intérieur et extérieur: châssis, portes, terrasses, escaliers, placards, restaurations",n.a.,tiède,https://www.lasource-scierie.be/blog/partenaires-4/menuiserie-decharneux-17
ATG WOOD SRL,"Arnaud de Fays, Guerric Ceulemans, Tim Dubois",info@atgwood.be,"Court-Saint-Étienne (siège BCE désormais à Eghezée, Namur)",Brabant wallon,atgwood.be,+32 498 53 63 14,Équipe de 3 pros; 1-4 salariés,"Changement/pose de châssis de fenêtres, menuiserie sur mesure, toiture, escaliers, mobilier",2008 (société 2018),à vérifier (siège hors province),https://atgwood.be/contact/
B.W. RENOVATION SRL (Châssis Jette),"Waldemar Burta, Aneta Burta",info@chassisjette.be,Jette,Bruxelles-Capitale,chassisjette.be,02 880 56 87,1-4 salariés (micro),"PVC, bois, alu; fabrication sur mesure + pose, portes, volets",2008,chaud,https://www.chassisjette.be/fr/contact
HAFEL SRL (Chassis Leopold),Hafid El Hassouni,info@chassisleopold.be,Koekelberg,Bruxelles-Capitale,chassisleopold.be,02 424 23 49,1-4 personnes (2 ETP),"PVC, alu, bois; installation, remplacement, réparation",2001,chaud,https://chassisleopold.be/contact/
CONCEPT RENOV HOUSES SRL (CRH Châssis & Portes),Noureddine Gharbaoui,info@c-r-h.be,Jette,Bruxelles-Capitale,c-r-h.be,+32 2 720 80 08,1-4 salariés,"PVC, alu, bois; mesurage, pose châssis/portes/volets",2007,chaud,https://www.c-r-h.be/mentions-legales-rgpd/
CHASSIS BRUGMANN SRL,Said Kasri,info@chassisbrugmann.be,Ganshoren (atelier Bruxelles),Bruxelles-Capitale,chassisbrugmann.be,+32 2 427 36 27,1-4 salariés,"Mixte PVC/bois/alu; fabricant châssis, portes, volets, vérandas",2014,tiède,https://chassisbrugmann.be/
ONLY-WOOD SRL (Châssis Only-Wood),Yves Putzeys; Eveline Ody,n.a. (formulaire de contact uniquement),Jette,Bruxelles-Capitale,only-wood.be,+32 2 426 66 18,1-4 salariés,"Bois; fabrication sur mesure, restauration, vérandas",1984,tiède,https://only-wood.be/fr
LA MAISON DU CHÂSSIS SPRL,"Ayhan Isik, Turgay Balkaya",n.a.,Evere,Bruxelles-Capitale,n.a. (fiche Pages d'Or active),+32 2 245 60 50,1-4 salariés,Châssis (PVC référencé),1976,à vérifier,https://www.pagesdor.be/entreprises/Brabant+Flamand/ch%C3%A2ssis+pvc/
